From Station,To Station,Coordenadas 1,Coordenadas 2,Distancia
kallithea,pallini,"(37.96056, 23.69722)","(38.00528, 23.86972)",15.91525434841667
kallithea,peania - kantza,"(37.96056, 23.69722)","(37.98417, 23.87)",15.371045020477624
kallithea,koropi,"(37.96056, 23.69722)","(37.91278, 23.89583)",18.21007168408024
kallithea,airport,"(37.96056, 23.69722)","(37.9369, 23.9448)",21.86766896430563
tavros,petralona,"(37.9625, 23.70333)","(37.96861, 23.70917)",0.8506985929630254
tavros,thissio,"(37.9625, 23.70333)","(37.97721, 23.71954)",2.166691037278973
tavros,monastiraki,"(37.9625, 23.70333)","(37.972281, 23.721902)",1.9579169366732732
tavros,omonia,"(37.9625, 23.70333)","(37.983787, 23.723607)",2.960036445399667
tavros,victoria,"(37.9625, 23.70333)","(37.993056, 23.730556)",4.151969030367699
tavros,attiki,"(37.9625, 23.70333)","(37.993096, 23.753713)",5.574573983512731
tavros,aghios nikolaos,"(37.9625, 23.70333)","(38.0069, 23.7277)",5.37924586058539
tavros,kato patissia,"(37.9625, 23.70333)","(38.011944, 23.728611)",5.927565039775254
tavros,aghios eleftherios,"(37.9625, 23.70333)","(38.019722, 23.731667)",6.830221243276924
tavros,ano patissia,"(37.9625, 23.70333)","(38.020949, 23.734997)",7.066904381948864
tavros,perissos,"(37.9625, 23.70333)","(38.032778, 23.744722)",8.615255557841195
tavros,pefkakia,"(37.9625, 23.70333)","(38.036944, 23.75)",9.232826199526455
tavros,nea ionia,"(37.9625, 23.70333)","(38.041528, 23.755)",9.885216106175777
tavros,iraklio,"(37.9625, 23.70333)","(38.0463, 23.7662)",10.824586796011817
tavros,irini,"(37.9625, 23.70333)","(38.0432, 23.7834)",11.390461861814389
tavros,neratziotissa,"(37.9625, 23.70333)","(38.040333, 23.788996)",11.456234913483703
tavros,maroussi,"(37.9625, 23.70333)","(38.0562, 23.805)",13.707602882957087
tavros,kat,"(37.9625, 23.70333)","(38.0648, 23.8095)",14.693828321714532
tavros,kifissia,"(37.9625, 23.70333)","(38.0737, 23.8083)",15.409342813304047
tavros,anthoupoli,"(37.9625, 23.70333)","(38.016944, 23.691667)",6.139579095068158
tavros,peristeri,"(37.9625, 23.70333)","(38.012981, 23.695731)",5.652605604373729
tavros,aghios antonios,"(37.9625, 23.70333)","(38.006111, 23.699722)",4.8596273281103475
tavros,sepolia,"(37.9625, 23.70333)","(38.002786, 23.713583)",4.568846845378113
tavros,larissa st.,"(37.9625, 23.70333)","(37.992289, 23.720556)",3.64027455206603
tavros,metaxourghio,"(37.9625, 23.70333)","(37.9858, 23.721)",3.0185084012631296
tavros,panepistimio,"(37.9625, 23.70333)","(37.980278, 23.733056)",3.2707012260278963
tavros,syntagma,"(37.9625, 23.70333)","(37.97499, 23.73556)",3.1481902492928353
tavros,akropoli,"(37.9625, 23.70333)","(37.96875, 23.729583)",2.404083833692811
tavros,sygroy - fix,"(37.9625, 23.70333)","(37.964605, 23.7268)",2.070802472596088
tavros,neos kosmos,"(37.9625, 23.70333)","(37.95778, 23.72861)",2.277606534191925
tavros,aghios ioannis,"(37.9625, 23.70333)","(37.9565, 23.7342)",2.787433547346863
tavros,dafni,"(37.9625, 23.70333)","(37.949236, 23.737222)",3.3173981195814237
tavros,aghios dimitrios,"(37.9625, 23.70333)","(37.940278, 23.740694)",4.1034906174031205
tavros,ilioupoli,"(37.9625, 23.70333)","(37.929583, 23.744514)",5.141860269526936
tavros,alimos,"(37.9625, 23.70333)","(37.918056, 23.744514)",6.120993131561372
tavros,argyroupoli,"(37.9625, 23.70333)","(37.903056, 23.745903)",7.591553369437875
tavros,elliniko,"(37.9625, 23.70333)","(37.892569, 23.747153)",8.674091593673326
tavros,dimotiko theatro,"(37.9625, 23.70333)","(37.942924, 23.647588)",5.3502503994414825
tavros,maniatika,"(37.9625, 23.70333)","(37.95968, 23.640033)",5.558061656675649
tavros,nikea,"(37.9625, 23.70333)","(37.966666, 23.633333)",6.153762667296272
tavros,korydallos,"(37.9625, 23.70333)","(37.9789, 23.6405)",5.801601944660051
tavros,aghia varvara,"(37.9625, 23.70333)","(37.989722, 23.659444)",4.894826213296261
tavros,aghia marina,"(37.9625, 23.70333)","(37.9972, 23.6674)",4.980458794240499
tavros,egaleo,"(37.9625, 23.70333)","(37.9913, 23.6772)",3.9371300347071685
tavros,eleonas,"(37.9625, 23.70333)","(37.9878, 23.6925)",2.969077671766864
tavros,kerameikos,"(37.9625, 23.70333)","(37.9786, 23.7115)",1.9281744562770755
